city,final_hub,name,address,accreditation_type,website,phone,lat,lng,nabh_speciality_codes,nabh_speciality_names,nabh_speciality_count,match_type,match_score,Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,Application Status,Hospital Address,pmjay_speciality_count,final_city,p_focused_specialities,p_focused_count,unified_specialities,unified_count,unified_score,super_specialities_score_v2,google_rating,google_reviews,Unnamed: 34,Hospital_type,diff_score,unified_specialities_updated,market_alignment_score,Hospital_type_v3,New_Types_V2,reviews_phone,reviews_website,reviews_lat,reviews_lng,New_Types
mumbai,MUMBAI,criticare asia multispecialty hospital and research center,"Kohinoor city, Kirol road,, Mumbai, Maharashtra, 400070",Accredited,http://www.criticareasiahospital.com/,+91 22 6755 6755,19.0812505,72.8851009,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,10,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,10,10,3.78,4.6,9238,,TERTIARY,10,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,022 6909 2000,http://www.criticareasiahospital.com/,19.1803075,72.835626,Advanced Multispecialty
mumbai,MUMBAI,asian heart institute and research centre,"G/N Block, Bandra Kurla Complex, Mumbai, Bandra, East, Maharashtra, India, 400051",Accredited,https://asianheartinstitute.org/,+91 22 6698 6666,19.0685002,72.8702634,CAR|MED|NPH,Cardiology|General Medicine|Nephrology,3,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|MED|NPH,3,3,2.1,4.3,1514,,CORE,5.14,CAR|MED|NPH,5.14,CORE,Boutique Super-Specialty,022 6698 6666,https://asianheartinstitute.org/,19.0652405,72.8610142,Boutique Super-Specialty
mumbai,MUMBAI,sushrut hospital and research centre (a unit of chembur hospital project trust),"365, SWASTIK PARK, CHEMBUR EAST, MUMBAI, MAHARASHTRA, Maharashtra, India, 400071",Accredited,https://sushruthospital.org/?utm_source=google&utm_medium=gmb,+91 93727 45480,19.0565417,72.8895265,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,10,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,10,10,3.78,4.4,1986,,TERTIARY,10,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Standard Secondary General,093727 45480,https://sushruthospital.org/?utm_source=google&utm_medium=gmb,19.0565405,72.8895342,Standard Secondary General
mumbai,MUMBAI,surana sethia hospital & research centre,"Sion Trombay Road, Suman Nagar, Mumbai, Mumbai, Maharashtra, India, 400071",Certified,https://suranahospital.in/location/chembur/suranasethia,+91 22 3378 3378,19.0536253,72.8852314,CAR|GAS|MED|NEU|NPH|ONC|OPH|ORT|SUR|URO,Cardiology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Surgery|Urology,8,NABH+PMJAY,95.12,HOSP27P130055,Surana Sethia Hospital and Research Centre,MAHARASHTRA,MUMBAI,8692868474,"M1, M2, S8, M7, S7, S12, S13, S16, S2, S3, S5",Private(For Profit),Only CGHS,Hospital Approved for Empanelment,"suman Nagar, sion Trombay Road Chembur",11,MUMBAI,"M1, S8, M7, S7, S12, S13, S5",4,CAR|EMD|GAS|MED|NEU|NPH|ONC|ORT|URO,9,9.1,3.65,4.5,2408,,TERTIARY,10,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|SUR|URO,10,TERTIARY,Advanced Multispecialty,022 3378 3378,https://suranahospital.in/location/chembur/suranasethia,19.0535473,72.8870158,Advanced Multispecialty
mumbai,MUMBAI,"kolekar hospital and iccu,","2ND AND 3RD FLOOR OMPRAKASH ARCADE AMBEDKAR GARDEN, CHEMBUR, MUMBAI, MUMBAI, Maharashtra, India, 400071",Accredited,https://www.kolekarhospital.com/,+91 22 3508 3100,19.0599408,72.9005789,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,10,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,10,10,3.78,4.5,1071,,TERTIARY,10,CAR|EMD|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Small Day-Care Clinics,022 3508 3100,https://www.kolekarhospital.com/,19.059848,72.9010208,Small Day-Care Clinics
mumbai,MUMBAI,surya childrens medicare private limited,"Upper Ground, 1st, 2nd, 3rd, 4th, Floor Shrikant Chambers 2  V.N.Purav Marg, NR,Godrej R.K.Apartments, Chembur  Mumbai - 400071, Maharashtra",Accredited,https://suryahospitals.com/,+91 88288 28100,19.052744,72.8961824,CAR|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,9,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,9,9,3.68,4.7,4991,,TERTIARY,10,CAR|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Boutique Super-Specialty,088288 28100,https://suryahospitals.com/santacruz,19.0855574,72.8378872,Boutique Super-Specialty
mumbai,MUMBAI,zynova hospitals private limited,"Acme Elanza, CTS 1900-1917, LBS Marg, Ghatkopar West  Mumbai City - 400086, Maharashtra",Accredited,https://www.zynovashalbyhospital.com/,+91 22 6890 0001,19.0886469,72.9064779,CAR|END|GAS|MED|NEU|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Endocrinology|Gastroenterology|General Medicine|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,9,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|END|GAS|MED|NEU|ONC|ORT|PUL|URO,9,9,3.59,4.8,10527,,TERTIARY,10,CAR|END|GAS|MED|NEU|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Advanced Multispecialty,022 6890 0000,https://www.zynovashalbyhospital.com/,19.0886636,72.9065126,Advanced Multispecialty
mumbai,MUMBAI,seven.h. ills hospital,"SeveN.H. ills Health Care Pvt Ltd, Marol  Andheri E, Mumbai City  Mumbai - 400059, Maharashtra",Accredited,http://www.sevenhillshospital.com/,+91 22 6767 6766,19.1083149,72.8836616,CAR|EMD|GAS|MED|NEU|NPH|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Gastroenterology|General Medicine|Nephrology|Neurosciences|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,9,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|GAS|MED|NEU|NPH|ORT|PUL|URO,9,9,3.37,3.7,1263,,ADVANCED,9.47,CAR|EMD|GAS|MED|NEU|NPH|OPH|ORT|PUL|SUR|URO,9.47,ADVANCED,Not Matched,022 6767 6766,http://www.sevenhillshospital.com/,19.1179997,72.8780374,Advanced Multispecialty
mumbai,MUMBAI,smt. s. r. mehta & sir k. p. cardiac institute,"Plot No. 96, Road No. 31  Near Gandhi Market, King's Circle, Sion East  Mumbai - 400022, Maharashtra",Accredited,,,19.0332965,72.8601992,CAR|EMD|MED|OPH|ORT|SUR,Cardiology|Emergency Medicine|General Medicine|Ophthalmology|Orthopedics|Surgery,4,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|MED|ORT,4,4,2.05,4.8,2953,,ADVANCED,6.22,CAR|EMD|MED|OPH|ORT|SUR,6.22,ADVANCED,Boutique Super-Specialty,022 6910 5400,http://www.srmkpcardiac.com/,19.0323445,72.85963,Boutique Super-Specialty
mumbai,MUMBAI,holy spirit hospital,"Mahakali Caves road, Andheri East, Mumbai, Mumbai Suburb, Maharashtra, India, 400093",Accredited,http://www.holyspirithospital.org/,+91 22 4247 8888,19.1209439,72.8640264,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,Cardiology|Emergency Medicine|Endocrinology|Gastroenterology|General Medicine|Nephrology|Neurosciences|Oncology|Ophthalmology|Orthopedics|Pulmonology|Surgery|Urology,11,NABH_ONLY,0,,,,,,,,,,,,,,,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|ORT|PUL|URO,11,11,3.91,4.2,2641,,TERTIARY,10,CAR|EMD|END|GAS|MED|NEU|NPH|ONC|OPH|ORT|PUL|SUR|URO,10,TERTIARY,Standard Secondary General,022 4247 8888,http://www.holyspirithospital.org/,19.1273935,72.8671834,Standard Secondary General
